1§zurück zu Windows|Das Programm wird beendet
2§zu den Unterprogrammen|Die Programmliste wird geöffnet,
3§ in der eines der Unterprogramme ausgewählt werden muß.
4§Rechtmäßiger Benutzer von Fabric8|
5§Demo-Lizenz für zwei Monate. Eine permanente Lizenz wird nur bei Erwerb von Fabric8 vergeben.
6§Erläuterungen finden Sie im Handbuch|
7§Das Handbuch befindet sich im Ordner 'Manual'. Das aktuelle Kapitel kann durch Klicken auf 'Handbuch' eingesehen werden.
8§Programm wählen|Klicken Sie ein Unterprogramm doppelt an,
9§ oder wählen Sie mit dem Aufwärts- oder Abwärts-Pfeil und RETURN.
10§zurück zum Anfang
11§Abbrechen|zurück zum Anfang
12§Futteral-Falte|Foto: SW Scherzone, G. Meatiq, östliche Wüste, Ägypten
13§Dateneingabe, Berechnung, Winkel|
14§Die gewählten Spezifikationen werden angezeigt.
15§Auswahl|Die gewählten Spezifikationen werden hier angezeigt
16§zum nächsten Fenster|weiter zur Dateneingabe und Berechnung
17§ Weiter-Taste nach Auswahl von Dateneingabe, Berechnungen und Winkel
18§zurück zum letzten Fenster| zurück zum Fenster 'Auswahl der Unterprogramme'
19§Abbruch|zurück zur Programm-Liste
20§Anzahl|Anzahl der eingegebenen Daten
21§Azimut|Fall-Azimut der ersten Messung, Eingabe mit RETURN abschließen.
22§Fallwinkel|Fallwinkel der ersten Messung, Eingabe mit RETURN abschließen.
23§Azimut|Fall-Azimut der zweiten Messung, Eingabe mit RETURN abschließen.
24§Fallwinkel|Fallwinkel der zweiten Messung, Eingabe mit RETURN abschließen.
25§Alles richtig?|Wenn die Eingaben korrekt sind, hier klicken.
26§Abschließen|Daten können jetzt gespeichert und/oder gedruckt werden
27§Programmbeginn|Nach Drücken von Start werden Daten eingegeben
28§zurück zum letzten Fenster|Rückkehr zum Beginn von 'Berechnungen'
29§Liste|Liste aller eingegebener Daten und Ergebnisse
30§Abbruch|sofortige Rückkehr zur Programm-Liste
31§Eingabe und Ergebnisse|Anzeige der eingegebenen Daten und der Ergebnisse
32§Anzeige der ausgewählten Dateien|Anzeige der Namen der ausgewählten Dateien
33§Auswahl|Klicken Sie alle Dateien an, mit denen Sie arbeiten wollen
34§Daten-Directory|Der gesamte Pfad und die Datei,die die Daten enthält, wird angezeigt.
35§Extension anzeigen| Die Extension für den gewählten Datentyp wird angezeigt
36§Anzahl der Daten|Summe der Daten in allen ausgewählten Dateien
